Commodity_ID,Policy_ID,CPL_ID,Country_Name,Subnational_Name,CommodityDomain_Name,PolicyDomain_Name,PolicyType_Name,PolicyMeasure_Name,Condition,IndividualPolicy_Name,Policy_Element,CommodityClass_Name,HS_Code,HS_Version,Description,Short_Description,Shared_Group_Code,Second_Generation_Specific,Start_Date,End_Date,Imposed_End_Date,Units,Value,Value_Text,Value_Type,Exemptions,Notes,Measure_Description,Link,Link_pdf,Source,Date_Of_Publication,Title_Of_Notice,Legal_Basis_Name,Benchmark_Tax,Benchmark_Product,Tax_Rate_Biofuel,Tax_Rate_Benchmark,Start_Date_Tax,Benchmark_Link,Benchmark_Link_pdf,Product_Original_HS,Product_Original_Name,Type_Of_Change_Name,Original_Dataset,CommodityDomain_Code,PolicyDomain_Code,country_code,Subnational_Code,PolicyType_Code,PolicyMeasure_Code,Condition_Code,IndividualPolicy_Code,Type_Of_Change_Code,Element_Code,CommodityClass_Code,Metadata_ID,MinAVTariffValue,maxavtariffvalue,CountAVTariff,CountNAVTariff
"490","3395","541","Canada","n.a.","Biofuels","Trade","Export measures","VAT tax rebate","n.a.","n.a.","n.a.","Ethanol","","","Ethanol","Ethanol","","","2006-01-01","2007-12-31","","","","","Observed","","","Sales taxes (GST/HST): Goods (other than excisable goods such as beer and tobacco) that are ordinarily GST/HST taxable supplies may be zero-rated if they are exported from Canada. No charge of GST/HST on taxable sales if delivering to outside Canada.","http://www.cra-arc.gc.ca/E/pub/gp/rc4033/README.html; http://www.cra-arc.gc.ca/tx/bsnss/tpcs/gst-tps/gnrl/txbl/mprtsxprts/xprtdgds-eng.html; http://www.cra-arc.gc.ca/tx/bsnss/tpcs/gst-tps/rts-eng.html","www.cra-arc.gc.ca_E_pub_gp_rc4033_rc4033-13e.pdf; Exported goods.pdf; GST_HST rates.pdf","Canada Revenue Agency, Government of Canada","2013-03-28","RC4033 General Application for GST/HST Rebates","Excise Tax Act","Sales taxes (GST/HST)","","","","","","","","Ethanol","Introduction","OECD Biofuels","2","1","46","99","1","10","105","999","5.0","99","5","POLICY_46_99_2_5_1_1_10_0","","","",""
"490","3397","541","Canada","n.a.","Biofuels","Trade","Export measures","VAT tax rebate","n.a.","n.a.","n.a.","Ethanol","","","Ethanol","Ethanol","","","2010-07-01","2013-03-31","","","","","Observed","","Effective July 1, 2010, the HST applies in the participating provinces at the rates: 13% in Ontario, New Brunswick and Newfoundland and Labrador; 15% in Nova Scotia, and 12% in British Columbia. The GST applies in the rest of Canada at the rate of 5%.; Da","Sales taxes (GST/HST): Goods (other than excisable goods such as beer and tobacco) that are ordinarily GST/HST taxable supplies may be zero-rated if they are exported from Canada. No charge of GST/HST on taxable sales if delivering to outside Canada.","http://www.cra-arc.gc.ca/E/pub/gp/rc4033/README.html; http://www.cra-arc.gc.ca/tx/bsnss/tpcs/gst-tps/gnrl/txbl/mprtsxprts/xprtdgds-eng.html; http://www.cra-arc.gc.ca/tx/bsnss/tpcs/gst-tps/rts-eng.html","www.cra-arc.gc.ca_E_pub_gp_rc4033_rc4033-13e.pdf; Exported goods.pdf; GST_HST rates.pdf","Canada Revenue Agency, Government of Canada","2013-03-28","RC4033 General Application for GST/HST Rebates","Excise Tax Act","Sales taxes (GST/HST)","","","","","","","","Ethanol","n.a.","OECD Biofuels","2","1","46","99","1","10","105","999","6.0","99","5","POLICY_46_99_2_5_1_1_10_0","","","",""
"897","6408","1064","European Union","n.a.","Biofuels","Trade","Import measures","Antidumping measures","Imports of bioethanol originating in the United States of America","n.a.","n.a.","Ethanol","22071000","HS2012","Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol. or higher","Undenatured ethyl alcohol of an alcoholic strength of 80% vol or higher","","","2013-02-22","2018-02-22","","EUR/tonne","62.3","62.3","Observed","","","Antidumping measure against ethanol imports from the USA.","http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2013:049:0010:0028:EN:PDF; http://trade.ec.europa.eu/tdi/case_history.cfm?ref=com&init=1829&sta=1&en=20&page=1&number=&prod=ethanol&code=&scountry=all&proceed=all&status=all&measures=all&measure_t","eur-lex.europa.eu_Regulation157_2013 .pdf; Case history Bioethanol - Trade - European Commission - Anti-dumping.pdf","European Union","2013-02-18","Council implementing regulation (EU) No 157/2013 of 18 February 2013","Council implementing regulation (EU) No 157/2013","","","","","","","","22071000","Undenatured ethyl alcohol of an alcoholic strength by volume of 80% vol or higher","Introduction","OECD Biofuels","2","1","999000","99","2","28","97","999","5.0","99","5","POLICY_999000_99_2_5_1_2_28_1","","","",""
"898","6409","1065","European Union","n.a.","Biofuels","Trade","Import measures","Antidumping measures","Imports of bioethanol originating in the United States of America","n.a.","n.a.","Ethanol","22072000","HS2012","Ethyl alcohol and Other spirits, denatured, of any strength","Ethyl alcohol and other spirits, denatured, of any strength","","","2013-02-22","2018-02-22","","EUR/tonne","62.3","62.3","Observed","","","Antidumping measure against ethanol imports from the USA.","http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2013:049:0010:0028:EN:PDF; http://trade.ec.europa.eu/tdi/case_history.cfm?ref=com&init=1829&sta=1&en=20&page=1&number=&prod=ethanol&code=&scountry=all&proceed=all&status=all&measures=all&measure_t","eur-lex.europa.eu_Regulation157_2013 .pdf; Case history Bioethanol - Trade - European Commission - Anti-dumping.pdf","European Union","2013-02-18","Council implementing regulation (EU) No 157/2013 of 18 February 2013","Council implementing regulation (EU) No 157/2013","","","","","","","","22072000","Ethyl alcohol and other spirits, denatured, of any strength","Introduction","OECD Biofuels","2","1","999000","99","2","28","97","999","5.0","99","5","POLICY_999000_99_2_5_1_2_28_1","","","",""
"1032","7367","1422","India","n.a.","Biofuels","Trade","Export measures","Domestic market obligation","n.a.","n.a.","n.a.","Biodiesel","","","Biodiesel","Biodiesel","","","2012-01-01","","","","","","Observed","","","Exports of biofuel have increased significantly since 2010. In India, export of biofuel is only permitted after supply meets the domestic requirement and the final decision is taken by the National Biofuel Coordination Committee. ","http://mnre.gov.in/file-manager/UserFiles/biofuel_policy.pdf; http://pib.nic.in/newsite/erelease.aspx?relid=56469","mnre.gov.in_file-manager_UserFiles_biofuel_policy.pdf; Press Information Bureau.pdf","Government of India","2008-10-01","National Policy on Biofuels","","","","","","","","","","Biodiesel","Introduction","OECD Biofuels","2","1","115","99","1","27","105","999","5.0","99","6","POLICY_115_99_2_6_1_1_27_0","","","",""
"1035","7368","1423","India","n.a.","Biofuels","Trade","Export measures","Domestic market obligation","n.a.","n.a.","n.a.","Ethanol","","","Ethanol","Ethanol","","","2012-01-01","","","","","","Observed","","","Exports of biofuel have increased significantly since 2010. In India, export of biofuel is only permitted after supply meets the domestic requirement and the final decision is taken by the National Biofuel Coordination Committee. ","http://mnre.gov.in/file-manager/UserFiles/biofuel_policy.pdf; http://pib.nic.in/newsite/erelease.aspx?relid=56469","mnre.gov.in_file-manager_UserFiles_biofuel_policy.pdf; Press Information Bureau.pdf","Government of India","2008-10-01","National Policy on Biofuels","","","","","","","","","","Ethanol","Introduction","OECD Biofuels","2","1","115","99","1","27","105","999","5.0","99","5","POLICY_115_99_2_5_1_1_27_0","","","",""
"1212","21864","4473","Kazakhstan","n.a.","Biofuels","Trade","Import measures","Licensing requirement","n.a.","n.a.","n.a.","Biofuel (unspecified)","","","Fuel produced from raw materials of biological origin","Biofuel","","","2010-12-03","","","","","","Observed","","","License for blending petroleum products is needed in order to import biofuel","http://ru.government.kz/docs/z100000035120121226~1.htm","Z1000000351.20121226.pdf","Government of the Republic of Kazakhstan","2010-10-15","Law of the Republic of Kazakhstan, 15 November 2010 #351-IV, on state regulation of production and turnover of biofuel","","","","","","","","","","Biofuel","Introduction","OECD Biofuels","2","1","132","99","2","31","105","999","5.0","99","7","POLICY_132_99_2_7_1_2_31_0","","","",""
"2370","21980","4522","Russian Federation","n.a.","Biofuels","Trade","Export measures","Licensing requirement","n.a.","n.a.","n.a.","Ethanol","220710","HS2007","Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol. or higher; ethyl alcohol and other spirits, denatured, of any strength - Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol. or higher","Undenatured ethyl alcohol, of actual alcoholic strength of >= 80%","","","1995-11-29","2013-10-17","Yes","","","","Observed","","","License for production and export of ethanol and certificate of conformity or declaration of conformity are needed

 ","http://www.szrf.ru/doc.phtml?nb=edition00&issid=1995048000&docid=1203","www.szrf.ru_doc.phtmlnb=edition00&issid=1995048000&docid=1203.pdf","Government of the Russian Federation","1995-11-15","Federal law of 22.11.1995 #171-FZ, on the regulation of production and turnover of ethyl alcohol, alcohol and alcohol-containing products","","","","","","","","","220710","Undenatured ethyl alcohol of an alcoholic strength by volume of 80% vol or higher","Introduction","OECD Biofuels","2","1","204","99","1","5","105","999","5.0","99","5","POLICY_204_99_2_5_1_1_5_0","","","",""
"2370","21981","4522","Russian Federation","n.a.","Biofuels","Trade","Export measures","Licensing requirement","n.a.","n.a.","n.a.","Ethanol","220710","HS2007","Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol. or higher; ethyl alcohol and other spirits, denatured, of any strength - Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol. or higher","Undenatured ethyl alcohol, of actual alcoholic strength of >= 80%","","","2010-02-14","","","","","","Observed","","","Ethanol is subject to mandatory certification","http://www.szrf.ru/doc.phtml?nb=edition00&issid=2009050000&docid=54","www.szrf.ru_doc.phtml_nb=edition00&issid=2009050000&docid=54.pdf","Government of the Russian Federation","2009-12-01","Resolution of the Government of the Russian Federation, 1 December 2009 #982","","","","","","","","","220710","Undenatured ethyl alcohol of an alcoholic strength by volume of 80% vol or higher","Extension","OECD Biofuels","2","1","204","99","1","5","105","999","3.0","99","5","POLICY_204_99_2_5_1_1_5_0","","","",""
"2370","22081","4582","Ukraine","n.a.","Biofuels","Trade","Export measures","Licensing requirement","n.a.","n.a.","n.a.","Ethanol","220710","HS2007","Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol. or higher; ethyl alcohol and other spirits, denatured, of any strength - Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol. or higher","Undenatured ethyl alcohol, of actual alcoholic strength of >= 80%","","","2009-06-19","","","","","","Observed","","","Activities associated with the production of bioethanol are carried out with an appropriate license","http://zakon2.rada.gov.ua/laws/show/1391-17","zakon2.rada.gov.ua_laws_show_1391-17_ed20090521.pdf","Government of Ukraine","2009-05-21","Law of Ukraine, 21.05.2009 #1391-VI, on amending some laws of Ukraine for facilitation of production and use of biofuels","","","","","","","","","2207","Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol. or higher; ethyl alcohol and other spirits, denatured, of any strength.","Introduction","OECD Biofuels","2","1","254","99","1","5","105","999","5.0","99","5","POLICY_254_99_2_5_1_1_5_0","","","",""
