Commodity_ID,Country_Name,HS_Code,HS_Suffix,HS_Version,Description,Short_Description,CommodityClass_Name,CommodityClass_Code,shared_group_code,Country_Code
"2125","United States of America","","","","2nd generation biofuels (Non-ethanol). Second generation biofuel is defined as liquid fuel produced from any lignocellulosic or hemicellulosic matter that is available on a renewable basis or any cultivated algae, cyanobacteria, or lemna. To qualify, fuel","2nd generation biofuels (Non-ethanol)","Biofuel (unspecified)","7","","259"
"2126","United States of America","","","","2nd generation biofuels. Second generation biofuel is defined as liquid fuel produced from any lignocellulosic or hemicellulosic matter that is available on a renewable basis or any cultivated algae, cyanobacteria, or lemna. To qualify, fuel must also mee","2nd generation biofuels","Biofuel (unspecified)","7","","259"
"2127","United States of America","","","","Advanced Biofuel, biofuels other than corn-based ethanol with GHG savings >50%","Advanced biofuels","Biofuel (unspecified)","7","","259"
"2129","United States of America","","","","Agriculturally derived, denatured ethanol","Ethanol","Ethanol","5","","259"
"2130","United States of America","","","","Biodiesel","Biodiesel","Biodiesel","6","","259"
"2131","United States of America","","","","Biodiesel is defined as fuel that is derived from vegetable oils or animal fats and conforms to ASTM D6751 specifications for use in diesel engines and results in employment at a manufacturing facility for biodiesel fuel.","Biodiesel","Biodiesel","6","","259"
"2132","United States of America","","","","Biodiesel means renewable, biodegradable, monoalkyl ester combustible liquid fuel that is derived from agricultural plant oils or animal fats and that meets ASTM  D6751 standard specification. Blended biodiesel contains at least 2% biodiesel.","Biodiesel","Biodiesel","6","","259"
"2133","United States of America","","","","Biodiesel or renewable diesel defined as a diesel fuel substitute produced from non-petroleum renewable sources, including vegetable oils and animal fats, meets the federal registration requirements for fuels and fuel additives and ASTM specification D975","Biodiesel","Biodiesel","6","","259"
"2134","United States of America","","","","Biodiesel that meets the requirements of ASTM specification D6751.","Biodiesel","Biodiesel","6","","259"
"2135","United States of America","","","","Biodiesel, B1 to B10","Biodiesel, B1 to B10","Biodiesel","6","","259"
"2136","United States of America","","","","Biodiesel, B100","Biodiesel, B100","Biodiesel","6","","259"
"2137","United States of America","","","","Biodiesel, B100. Biodiesel that meets the requirements of ASTM specification D6751.","Biodiesel, B100","Biodiesel","6","","259"
"2138","United States of America","","","","Biodiesel, B20","Biodiesel, B20","Biodiesel","6","","259"
"2139","United States of America","","","","Biodiesel, B5 and higher blends","Biodiesel, B5 and higher blends","Biodiesel","6","","259"
"2140","United States of America","","","","Biodiesel, B5 and higher blends. Biodiesel is defined as a fuel composed of mono-alkyl esters of long chain fatty acids derived from vegetable oils or animal fats and meets ASTM D6571 specification.","Biodiesel, B5 and higher blends","Biodiesel","6","","259"
"2141","United States of America","","","","Biodiesel, B>10","Biodiesel, B>10","Biodiesel","6","","259"
