commodity_id,country_name,hs_code,hs_suffix,hs_version,description,short_description,commodityclass_name,commodityclass_code,shared_group_code,country_code
"2260","China","1001190001","","HS2012","Wheat and meslin. - Durum wheat : -- Other(in-quota).","(-) Durum wheat","Wheat","1","","53"
"2261","China","1001190090","","HS2012","Wheat and meslin. - Durum wheat : -- Other(out-quota).","(-) Durum wheat","Wheat","1","","53"
"2262","India","10019010","","HS2007","Spelt, common wheat and meslin","Wheat and meslin (-)","Wheat","1","","115"
"2263","China","1001901001","","HS2007","Wheat and meslin. - Other. -- Seed.","(-) Durum wheat seed","Wheat","1","","53"
"2264","China","1001901090","","HS2007","Wheat and meslin. - Other. -- Seed.","(-) Durum wheat seed","Wheat","1","","53"
"2265","India","10019020","","HS2007","Spelt, common wheat and meslin","Wheat and meslin (-)","Wheat","1","","115"
"2266","India","10019031","","HS2007","Spelt, common wheat and meslin","Wheat and meslin (-)","Wheat","1","","115"
"2267","India","10019039","","HS2007","Spelt, common wheat and meslin","Wheat and meslin (-)","Wheat","1","","115"
"2268","China","1001909001","","HS2007","Wheat and meslin. - Other. -- Other.","Wheat and meslin (-)","Wheat","1","","53"
"2269","China","1001909090","","HS2007","Wheat and meslin, other","Wheat and meslin (-)","Wheat","1","","53"
"2270","China","1001910001","","HS2012","Wheat and meslin. - Other : -- Seed(in-quota).","Wheat and meslin (-) Seed","Wheat","1","","53"
"2271","China","1001910090","","HS2012","Wheat and meslin. - Other : -- Seed(out-quota).","Wheat and meslin (-) Seed","Wheat","1","","53"
"2272","China","1001990001","","HS2012","Wheat and meslin. - Other : -- Other(in-quota).","Wheat and meslin (-)","Wheat","1","","53"
"2273","China","1001990090","","HS2012","Wheat and meslin. - Other : -- Other(out-quota).","Wheat and meslin (-)","Wheat","1","","53"
"2274","China","10051000","","HS2012","Maize (corn). - Seed.","Maize (corn) seed","Maize","3","","53"
"2275","China","1005100001","","HS2007","Maize (corn). - Seed.","Maize (corn) seed","Maize","3","","53"
"2276","China","1005100090","","HS2007","Maize (corn). - Seed.","Maize (corn) seed","Maize","3","","53"
"2277","Argentina","10059000","","HS2007","Maize (excl. seed)","Maize (corn) (excl. seed)","Maize","3","","12"
"2278","China","10059000","","HS2012","Maize (corn). - Other.","Maize (corn)","Maize","3","","53"
"2279","China","1005900001","","HS2007","Maize (corn). - Other.","Maize (corn)","Maize","3","","53"
"2280","China","1005900090","","HS2007","Maize (corn). - Other.","Maize (corn)","Maize","3","","53"
"2281","","1006","","HS2007","Rice","Rice","Rice","2","",""
"2284","China","10061011","","HS2012","Rice. - Rice in the husk (paddy or rough). --- Seed. ---- Long grain.","(-) Long grain rice in the husk (paddy or rough) seed","Rice","2","","53"
"2285","China","1006101101","","HS2007","Rice. - Rice in the husk (paddy or rough). --- Seed. ---- Long grain.","(-) Rice in the husk (paddy or rough). Shien rice seed","Rice","2","","53"
"2286","China","1006101190","","HS2007","Rice. - Rice in the husk (paddy or rough). --- Seed. ---- Long grain.","(-) Rice in the husk (paddy or rough). Shien rice seed","Rice","2","","53"
"2287","China","1006101901","","HS2007","Rice. - Rice in the husk (paddy or rough). --- Seed. ---- Other.","(-) Rice in the husk (paddy or rough). Seed","Rice","2","","53"
"2288","China","1006101990","","HS2007","Rice. - Rice in the husk (paddy or rough). --- Seed. ---- Other.","(-) Rice in the husk (paddy or rough). Seed","Rice","2","","53"
"2289","China","1006109101","","HS2007","Rice. - Rice in the husk (paddy or rough). --- Other. ---- Long grain.","(-) Rice in the husk (paddy or rough). Shien rice (long grain, non-glutinous rice)","Rice","2","","53"
"2290","China","1006109190","","HS2007","Rice. - Rice in the husk (paddy or rough). --- Other. ---- Long grain.","(-) Rice in the husk (paddy or rough). Shien rice (long grain, non-glutinous rice)","Rice","2","","53"
"2291","China","10061099","","HS2012","Rice. - Rice in the husk (paddy or rough). --- Other. ---- Other.","(-) Rice in the husk (paddy or rough) (-)","Rice","2","","53"
"2292","China","1006109901","","HS2007","Rice. - Rice in the husk (paddy or rough). --- Other. ---- Other.","(-) Rice in the husk (paddy or rough)","Rice","2","","53"
"2293","China","1006109990","","HS2007","Rice. - Rice in the husk (paddy or rough). --- Other. ---- Other.","(-) Rice in the husk (paddy or rough)","Rice","2","","53"
"2294","China","10062010","","HS2012","Rice. - Husked (brown) rice. --- Long grain.","(-) Husked (brown) rice. Long grain","Rice","2","","53"
"2295","China","1006201001","","HS2007","Rice. - Husked (brown) rice. --- Long grain.","(-) Husked (brown) rice. Shien rice (long grain, non-glutinous rice)","Rice","2","","53"
"2296","China","1006201090","","HS2007","Rice. - Husked (brown) rice. --- Long grain.","(-) Husked (brown) rice. Shien rice (long grain, non-glutinous rice)","Rice","2","","53"
"2297","China","10062090","","HS2012","Rice. - Husked (brown) rice. --- Other.","(-) Husked (brown) rice","Rice","2","","53"
"2298","China","1006209001","","HS2007","Rice. - Husked (brown) rice. --- Other.","(-) Husked (brown) rice","Rice","2","","53"
"2299","China","1006209090","","HS2007","Rice. - Husked (brown) rice. --- Other.","(-) Husked (brown) rice","Rice","2","","53"
"2300","China","10063010","","HS2012","Rice. - Semi-milled or wholly milled rice, whether or not polished or glazed. --- Long grain.","(-) Semi/wholly milled long grain rice","Rice","2","","53"
"2301","China","1006301001","","HS2007","Rice. - Semi-milled or wholly milled rice, whether or not polished or glazed.","(-) Semi/wholly milled Shien rice (long grain, non-glutinous rice)","Rice","2","","53"
"2302","China","1006301090","","HS2007","Rice. - Semi-milled or wholly milled rice, whether or not polished or glazed. --- Long grain.","(-) Semi/wholly milled Shien rice (long grain, non-glutinous rice)","Rice","2","","53"
"2303","China","10063090","","HS2012","Rice. - Semi-milled or wholly milled rice, whether or not polished or glazed. --- Other.","(-) Semi/wholly milled rice","Rice","2","","53"
"2304","China","1006309001","","HS2007","Rice. - Semi-milled or wholly milled rice, whether or not polished or glazed. --- Other.","(-) Semi/wholly milled Shien rice (long grain, non-glutinous rice)","Rice","2","","53"
"2305","China","1006309090","","HS2007","Rice. - Semi-milled or wholly milled rice, whether or not polished or glazed. --- Other.","(-) Semi/wholly milled Shien rice (long grain, non-glutinous rice)","Rice","2","","53"
"2306","China","10064010","","HS2012","Rice. - Broken rice. --- Long grain.","(-) Long grain broken rice","Rice","2","","53"
"2307","China","1006401001","","HS2007","Rice. - Broken rice. --- Long grain.","(-) Broken Shien (long grain, non-glutinous rice) rice","Rice","2","","53"
"2308","China","1006401090","","HS2007","Rice. - Broken rice. --- Long grain.","(-) Broken Shien (long grain, non-glutinous rice) rice","Rice","2","","53"
"2309","China","10064090","","HS2012","Rice. - Broken rice. --- Other.","(-) Broken rice","Rice","2","","53"
"2310","China","1006409001","","HS2007","Rice. - Broken rice. --- Other.","(-) Broken Shien (long grain, non-glutinous rice) rice","Rice","2","","53"
"2311","China","1006409090","","HS2007","Rice. - Broken rice. --- Other.","(-) Broken Shien (long grain, non-glutinous rice) rice","Rice","2","","53"
"2312","China","11010000","","HS2012","Wheat or meslin flour.","Wheat or meslin flour","Wheat","1","","53"
"2313","China","1101000001","","HS2007","Wheat or meslin flour.","Wheat or meslin flour","Wheat","1","","53"
"2314","China","1101000090","","HS2007","Wheat or meslin flour.","Wheat or meslin flour","Wheat","1","","53"
"2315","China","11022000","","HS2012","Cereal flours other than of wheat or meslin. - Maize (corn) flour.","(-) Maize (corn) flour","Maize","3","","53"
"2316","China","1102200001","","HS2007","Cereal flours other than of wheat or meslin. - Maize (corn) flour.","Maize (corn) flour","Maize","3","","53"
"2317","China","1102200090","","HS2007","Cereal flours other than of wheat or meslin. - Maize (corn) flour.","Maize (corn) flour","Maize","3","","53"
"2318","China","11029011","","HS2012","Cereal flours other than of wheat or meslin. - Other. - Other: -- Rice flour: --- Of long grain.","(-) Long grain rice flour","Rice","2","","53"
"2320","China","1102901101","","HS2007","Shien rice (long grain non-glutinous rice flour)","(-) Shien rice (long grain, non-glutinous rice) flour","Rice","2","","53"
"2322","China","1102901190","","HS2007","Shien rice (long grain non-glutinous rice flour)","(-) Shien rice (long grain, non-glutinous rice) flour","Rice","2","","53"
"2323","China","11029019","","HS2012","Cereal flours other than of wheat or meslin. - Other. - Other: -- Rice flour: --- Other.","(-) Rice flour","Rice","2","","53"
